,beds,county,house_address,house_type,price
10,3 Bed,cavan,"Ballinagh1, Ballinagh, Co. Cavan",House,1200.0
12,4 Bed,cavan,"117 College St, Cavan, Co. Cavan",House,1600.0
13,3 Bed,cavan,"3 Claremont Cockhill h12 wa44, Cavan, Co. Cavan",House,2000.0
49,4 Bed,donegal,"Mountain Top area
Letterkenny, Letterkenny, Co. Donegal",House,1250.0
51,3 Bed,donegal,"44 Whitethorn Grove, Letterkenny, Co. Donegal",House,1000.0
52,3 Bed,donegal,"Creesloughbeg, Creeslough, Co. Donegal",House,950.0
53,4 Bed,donegal,"48 Thornberry, Letterkenny, Co. Donegal",House,1200.0
55,3 Bed,donegal,"Birchill Upper, Creeslough, Co. Donegal",House,800.0
56,4 Bed,donegal,"Magheraclogher, Derrybeg, Co. Donegal",House,850.0
57,4 Bed,donegal,"94 Ashfield, Letterkenny, Co. Donegal",House,1100.0
58,4 Bed,donegal,"6 Admiran Park, Stranorlar, Co. Donegal",House,950.0
60,4 Bed,donegal,"Apple Lodge, Covehill, Port Road, Letterkenny, Co. Donegal",House,600.0
65,3 Bed,donegal,"Aras Ui Dhomhnaill, Milford, Co. Donegal",House,1100.0
66,3 Bed,donegal,"Drumnaskea, Letterkenny, Co. Donegal",House,850.0
135,3 Bed,leitrim,"main street, Keshcarrigan, Co. Leitrim",House,950.0
141,3 Bed,leitrim,"12 Castle Street, Manorhamilton, Co. Leitrim",House,770.0
143,3 Bed,leitrim,"4, River Meadow, Dromod, Co. Leitrim",House,1000.0
181,3 Bed,mayo,"Carrownahaltore, Ballyglass, Co. Mayo",House,900.0
184,3 Bed,mayo,"Riverwalk, Crossmolina, Co. Mayo",House,1000.0
185,3 Bed,mayo,"6 Clew Bay Cottage, Mulranny, Co. Mayo",House,1000.0
187,3 Bed,mayo,"45 Convent Hill Avenue, Ballina, Co. Mayo",House,1000.0
188,4 Bed,mayo,"Sarsfield Crescent, Charlestown, Co. Mayo",House,1200.0
191,3 Bed,mayo,"SHRAIGH HILL, BUNNAHOWEN, Belmullet, Co. Mayo",House,800.0
195,3 Bed,mayo,"Sarsfield Cresent, Charlestown, Co. Mayo",House,1000.0
197,4 Bed,mayo,"12A Cuan Oisri, Belmullet, Co. Mayo",House,1000.0
219,3 Bed,roscommon,"15 Brooklawn, Ballaghaderreen, Co. Roscommon",House,950.0
222,3 Bed,roscommon,"Cherrytrees, Kilbride, Carrick-on-Shannon, Co. Roscommon",House,900.0
224,4 Bed,roscommon,"Shannon Valley, Tarmonbarry, Co. Roscommon",House,1200.0
225,4 Bed,roscommon,"15, The Waterfront, Tarmonbarry, Co. Longford",House,1200.0
228,3 Bed,roscommon,"Kildangan, Ballaghaderreen, Co. Roscommon",House,800.0
230,3 Bed,roscommon,"Laragh, Ballintubber, Co. Roscommon",House,1100.0
232,3 Bed,roscommon,"Moore, Athlone, Co. Roscommon",House,1400.0
235,4 Bed,sligo,"10 beechwood court, oldbundoran Road, Sligo, Co. Sligo",House,1400.0
239,4 Bed,sligo,"63. The Fairways, Tubbercurry, Co. Sligo",House,1200.0
240,3 Bed,sligo,"43 Cahermore Holiday Village, Enniscrone, Co. Sligo",House,1000.0
241,4 Bed,sligo,"Meadow Brook Mountain Road, Tubbercurry, Co. Sligo",House,900.0
